panel,markerstring,gating hierarchy,public_population_name,presented on webpage as,ancestral population,fraction_name,population_for_backcounts_within_panel,population_for_backcounts_P6,complex_cases
P6,CD45+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,CD45_cells,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P6,CD45+lymphocytes,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,Lymphocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,B_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06 | Count,non_B_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3-CD56+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NK_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3+CD56+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NKT_06 | Count,NKT_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3+CD56-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,T_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytes,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06 | Count,non_lymphocytes,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,non_Granulocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14+CD16-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Classical_monocytes_06 | Count,classical_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14+CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Intermediate_monocytes_06 | Count,intermediate_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14-CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Non_classical_monocytes_06 | Count,patrolling_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,Granulocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+CD16-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06/Eosinophils_06 | Count,Non_neutrophils,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06/Neutrophils_06 | Count,Neutrophils,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,NA,NA,NA,NA
P1,Livecells,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01 | Count,live_cells,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P1,CD45+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,CD45_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01 | Count,CD45_01/Live_01,NA,NA,NA
P1,CD45+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Median (CD45),CD45_MFI,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD19+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,B_01/CD45_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Median (CD19),CD19_MFI_CD45_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD19+CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01/Memory_B_01 | Count,memory_B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Memory_B_01/B_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19+CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01/Niv_B_01 | Count,naïve_B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Niv_B_01/B_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19-CD3-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01 | Count,non_B_non_T_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,Non_BT_01/CD45_01,NA,NA,NA
P1,CD45+CD19-CD3-CD14-CD56+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,NK_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01 | Count,NK_01/Non_BT_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NA
P1,CD45+CD19-CD3-CD14-CD56+++CD16+-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01/NK_CD56bright_CD16pn | Count,CD56bright_CD16pos_neg_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,NK_CD56bright_CD16pn/NK_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NA
P1,CD45+CD19-CD3-CD14-CD56++CD16+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01/NK_CD56int_CD16p | Count,CD56dim_CD16pos_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,NK_CD56int_CD16p/NK_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NA
P1,CD45+CD19-CD3-CD14-CD56+CD16+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01/NK_CD56low_CD16+ | Count,CD56low_CD16pos_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,NK_CD56low_CD16+/NK_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NA
P1,CD45+CD19-CD3-CD56-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01 | Count,non_NK_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01 | Count,Non_NK_01/Non_BT_01,NA,NA,NA
P1,CD45+CD19-CD3-CD56-CD14+CD16+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01 | Count,monocytes,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01 | Count,Monocytes_01/Non_NK_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01 | Count,complex,sum
P1,CD45+CD19-CD3-CD56-CD14+CD16-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Classical_mono_01 | Count,classical_monocytes,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01 | Count,Classical_mono_01/Monocytes_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Classical_mono_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Classical_monocytes_06 | Count,NA
P1,CD45+CD19-CD3-CD56-CD14+CD16+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Int_mono_01 | Count,intermediate_monocytes,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01 | Count,Int_mono_01/Monocytes_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Int_mono_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Intermediate_monocytes_06 | Count,NA
P1,CD45+CD19-CD3-CD56-CD14-CD16+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Patrolling_mono_01 | Count,patrolling_monocytes,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01 | Count,Patrolling_mono_01/Monocytes_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/Non_NK_01/Monocytes_01/Int_mono_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Non_classical_monocytes_06 | Count,NA
P1,CD45+CD3+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,T_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,T_01/CD45_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,complex,"sum Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NKT_06 | Count AND
Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count"
P1,CD45+CD3+CD56+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD3p_CD56p_01 | Count,NKT_cells_and_gd_T_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,CD3p_CD56p_01/T_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,CD4_01/T_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD45RA-CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD45RAn_CD27n_01 | Count,effector_memory_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD45RAn_CD27n_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD45RA-CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD45RAn_CD27p_01 | Count,central_memory_like_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD45RAn_CD27p_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD45RA+CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD45RAp_CD27n_01 | Count,TEMRA_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD45RAp_CD27n_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD45RA+CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD45RAp_CD27p_01 | Count,naive_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD45RAp_CD27p_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD103+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD103p_01 | Count,CD103pos_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD103p_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD103+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_CD103p_01 | Median (CD103),CD103_MFI_CD4_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD3+CD4+CD8-NKG2D+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_NKG2Dp_01 | Count,NKG2Dpos_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_NKG2Dp_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-NKG2D+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_NKG2Dp_01 | Median (NKG2D),NKG2D_MFI_CD4_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD3+CD4+CD8-CD127+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_nonTreg_01 | Count,non_Treg_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_nonTreg_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD127+CD25+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_nonTreg_01/CD4_CD25p_01 | Count,CD25pos_CD4_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_CD25p_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4+CD8-CD127+CD25+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_nonTreg_01/CD4_CD25p_01 | Median (CD25),CD25_MFI_CD4_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD3+CD4+CD8-CD127-CD25+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01/CD4_Treg_01 | Count,Treg_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count,CD4_Treg_01/CD4_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,CD8_01/T_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD25+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD25p_01 | Count,CD25pos_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD25p_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD25+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD25p_01 | Median (CD25),CD25_MFI_CD8_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD3+CD4-CD8+CD45RA-CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD45RAn_CD27n_01 | Count,effector_memory_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD45RAn_CD27n_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD45RA-CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD45RAn_CD27p_01 | Count,central_memory_like_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD45RAn_CD27p_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD45RA+CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD45RAp_CD27n_01 | Count,TEMRA_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD45RAp_CD27n_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD45RA+CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD45RAp_CD27p_01 | Count,naïve_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD45RAp_CD27p_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD103+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD103p_01 | Count,CD103pos_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_CD103p_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+CD103+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_CD103p_01 | Median (CD103),CD103_MFI_CD8_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD3+CD4-CD8+NKG2D+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_NKG2Dp_01 | Count,NKG2Dpos_CD8_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01 | Count,CD8_NKG2Dp_01/CD8_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,NA
P1,CD45+CD3+CD4-CD8+NKG2D+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD8_01/CD8_NKG2Dp_01 | Median (NKG2D),NKG2D_MFI_CD8_cells,median intensity,NA,NA,NA,NA,NA
P2,Livecells,Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02 | Count,live_cells,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P2,CD45+,Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02 | Count,CD45pos_cells,"fraction, counts per ml of blood",Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02 | Count,CD45p_02/Live_02,NA,NA,NA
P2,CD45+CD3+,Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02 | Count,T_cells,"fraction, counts per ml of blood",Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02 | Count,T_02/CD45p_02,Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02 | Count,complex,"sum Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NKT_06 | Count AND
Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count"
